week,total,five,base_mean,base_std,z,poisson_p,fdr_sig
2022-01-31/2022-02-06,34,22,21.9167,6.9079,0.0121,0.5213,False
2024-04-29/2024-05-05,25,16,15.9167,4.4202,0.0189,0.525,False
2023-05-15/2023-05-21,46,27,27.0,15.886,0.0,0.5256,False
2018-11-05/2018-11-11,10,6,5.8333,7.4203,0.0225,0.5272,False
2023-11-27/2023-12-03,40,25,25.0833,19.0905,-0.0044,0.5332,False
2020-10-26/2020-11-01,39,23,23.0833,5.3165,-0.0157,0.5346,False
2021-05-17/2021-05-23,39,24,24.25,4.8077,-0.052,0.5473,False
2026-02-16/2026-02-22,17,9,9.0833,2.3143,-0.036,0.5553,False
2024-05-27/2024-06-02,25,15,15.25,3.7689,-0.0663,0.5597,False
2018-06-18/2018-06-24,12,7,7.0833,7.2043,-0.0116,0.5626,False
2025-12-08/2025-12-14,14,10,10.1667,2.2088,-0.0755,0.5627,False
2025-10-06/2025-10-12,16,10,10.1667,1.9462,-0.0856,0.5627,False
2024-07-22/2024-07-28,22,12,12.25,3.6463,-0.0686,0.5667,False
2021-02-22/2021-02-28,46,24,24.5,8.4906,-0.0589,0.5672,False
2025-07-14/2025-07-20,13,8,8.1667,2.5879,-0.0644,0.5701,False
2025-03-31/2025-04-06,14,8,8.1667,3.2427,-0.0514,0.5701,False
2025-12-29/2026-01-04,16,9,9.25,2.1373,-0.117,0.5768,False
2019-10-14/2019-10-20,11,8,8.25,6.1219,-0.0408,0.5814,False
2024-06-03/2024-06-09,28,15,15.5,3.6307,-0.1377,0.5846,False
2023-09-11/2023-09-17,24,15,15.5,5.402,-0.0926,0.5846,False
2023-03-06/2023-03-12,16,9,9.3333,4.9787,-0.067,0.5874,False
2022-06-06/2022-06-12,29,19,19.6667,6.0503,-0.1102,0.59,False
2018-11-19/2018-11-25,9,6,6.25,7.2879,-0.0343,0.5936,False
2025-12-22/2025-12-28,16,9,9.4167,2.1933,-0.19,0.5978,False
2023-07-31/2023-08-06,31,20,20.8333,4.8021,-0.1735,0.6019,False
2025-07-28/2025-08-03,16,8,8.4167,2.1515,-0.1937,0.6035,False
2026-05-18/2026-05-24,15,9,9.5,2.9077,-0.172,0.6082,False
2022-08-22/2022-08-28,30,15,15.75,4.8641,-0.1542,0.6089,False
2021-11-22/2021-11-28,36,22,23.0,6.5087,-0.1536,0.6106,False
2022-09-26/2022-10-02,31,16,16.8333,3.9274,-0.2122,0.6133,False
2025-09-08/2025-09-14,19,9,9.5833,1.832,-0.3184,0.6184,False
2021-04-12/2021-04-18,36,24,25.1667,5.6057,-0.2081,0.6188,False
2026-03-30/2026-04-05,13,9,9.6667,2.708,-0.2462,0.6284,False
2018-08-13/2018-08-19,4,3,3.25,2.3789,-0.1051,0.6304,False
2019-01-07/2019-01-13,9,4,4.4167,1.8809,-0.2215,0.6434,False
2020-12-14/2020-12-20,36,24,25.5,4.7958,-0.3128,0.6435,False
2018-08-06/2018-08-12,7,3,3.3333,2.3868,-0.1397,0.6472,False
2020-01-13/2020-01-19,13,9,9.9167,4.3371,-0.2114,0.6577,False
2022-07-25/2022-07-31,27,14,15.25,3.3609,-0.3719,0.6603,False
2020-03-16/2020-03-22,21,12,13.1667,3.6886,-0.3163,0.6635,False
2025-11-24/2025-11-30,17,9,10.0,2.132,-0.469,0.6672,False
2018-10-29/2018-11-04,11,5,5.6667,7.463,-0.0893,0.6679,False
2020-02-10/2020-02-16,22,10,11.0833,4.7186,-0.2296,0.6685,False
2024-05-06/2024-05-12,21,14,15.4167,3.9877,-0.3553,0.6755,False
2019-12-02/2019-12-08,13,8,9.0,4.156,-0.2406,0.6761,False
2024-09-30/2024-10-06,16,9,10.0833,4.1222,-0.2628,0.6765,False
2020-06-15/2020-06-21,20,16,17.5833,8.5648,-0.1849,0.6795,False
2021-10-04/2021-10-10,41,23,25.0,5.5432,-0.3608,0.6825,False
2021-03-22/2021-03-28,39,24,26.0833,5.9614,-0.3495,0.6848,False
2019-02-04/2019-02-10,8,4,4.6667,2.1034,-0.3169,0.685,False
2024-09-09/2024-09-15,17,8,9.0833,2.9064,-0.3727,0.6858,False
2026-01-05/2026-01-11,11,8,9.1667,2.1249,-0.549,0.6953,False
2025-05-05/2025-05-11,21,8,9.1667,3.2983,-0.3537,0.6953,False
2022-02-28/2022-03-06,30,19,21.0,7.4833,-0.2673,0.6983,False
2025-10-13/2025-10-19,16,9,10.3333,1.8257,-0.7303,0.7034,False
2023-05-08/2023-05-14,38,24,26.4167,16.1327,-0.1498,0.7072,False
2021-11-08/2021-11-14,30,21,23.25,6.5522,-0.3434,0.7077,False
2022-05-02/2022-05-08,35,18,20.1667,5.4745,-0.3958,0.7155,False
2026-01-26/2026-02-01,19,8,9.4167,2.2747,-0.6228,0.7226,False
2019-09-09/2019-09-15,9,4,4.9167,6.9079,-0.1327,0.7231,False
2024-12-09/2024-12-15,17,7,8.3333,4.6775,-0.2851,0.7256,False
2024-04-01/2024-04-07,22,15,17.0833,5.1427,-0.4051,0.7258,False
2021-12-06/2021-12-12,31,18,20.3333,4.4789,-0.521,0.7276,False
2021-07-12/2021-07-18,44,22,24.6667,6.0803,-0.4386,0.7316,False
2022-10-10/2022-10-16,21,14,16.1667,4.8021,-0.4512,0.7388,False
2020-03-23/2020-03-29,18,11,12.9167,3.6546,-0.5245,0.7411,False
2021-07-05/2021-07-11,33,22,24.8333,6.0277,-0.4701,0.7423,False
2020-06-08/2020-06-14,22,15,17.3333,8.6899,-0.2685,0.745,False
2022-07-11/2022-07-17,27,14,16.25,4.5352,-0.4961,0.7454,False
2026-05-04/2026-05-10,12,8,9.6667,2.9644,-0.5622,0.7482,False
2020-03-09/2020-03-15,19,11,13.0833,3.7528,-0.5551,0.7554,False
2020-01-20/2020-01-26,14,8,9.75,4.3301,-0.4041,0.7564,False
2021-11-15/2021-11-21,31,20,22.9167,6.5569,-0.4448,0.757,False
2022-06-20/2022-06-26,30,15,17.5,5.402,-0.4628,0.7574,False
2024-05-20/2024-05-26,25,13,15.3333,3.7254,-0.6263,0.7591,False
2019-10-28/2019-11-03,11,7,8.6667,5.3654,-0.3106,0.7612,False
2020-08-17/2020-08-23,37,20,23.0833,5.9766,-0.5159,0.7675,False
2025-11-17/2025-11-23,13,8,9.9167,2.2344,-0.8578,0.7722,False
2018-09-17/2018-09-23,7,2,2.8333,1.9462,-0.4282,0.7745,False
2025-06-23/2025-06-29,24,7,8.8333,3.5633,-0.5145,0.7776,False
2021-02-08/2021-02-14,35,21,24.4167,8.8775,-0.3849,0.7824,False
2021-08-09/2021-08-15,39,20,23.3333,5.3485,-0.6232,0.7827,False
2025-03-24/2025-03-30,14,6,7.75,3.8168,-0.4585,0.7848,False
2025-10-27/2025-11-02,19,8,10.0833,2.1515,-0.9683,0.7872,False
2022-03-28/2022-04-03,35,18,21.25,7.9444,-0.4091,0.7887,False
2018-10-15/2018-10-21,6,4,5.4167,7.5734,-0.1871,0.7887,False
2023-06-19/2023-06-25,30,23,26.75,4.8641,-0.771,0.7915,False
2021-09-20/2021-09-26,33,21,24.5833,5.5671,-0.6437,0.792,False
2026-02-02/2026-02-08,16,7,9.0,2.0,-1.0,0.7932,False
2018-11-26/2018-12-02,8,5,6.6667,7.101,-0.2347,0.7944,False
2021-03-15/2021-03-21,43,21,24.6667,8.6795,-0.4225,0.7966,False
2025-06-02/2025-06-08,17,7,9.0833,3.2602,-0.639,0.8007,False
2025-08-25/2025-08-31,21,7,9.0833,2.4293,-0.8576,0.8007,False
2021-04-05/2021-04-11,38,22,25.8333,5.6702,-0.676,0.8007,False
2024-08-12/2024-08-18,15,8,10.25,3.1079,-0.724,0.8015,False
2020-09-21/2020-09-27,31,20,23.6667,5.5487,-0.6608,0.8018,False
2021-08-23/2021-08-29,41,19,22.6667,5.1405,-0.7133,0.8073,False
2018-04-02/2018-04-08,11,6,8.0,15.0151,-0.1332,0.8088,False
2023-08-07/2023-08-13,29,17,20.5,4.7001,-0.7447,0.8096,False
2021-04-19/2021-04-25,36,21,24.9167,5.5834,-0.7015,0.8101,False
2021-06-28/2021-07-04,32,21,24.9167,5.9766,-0.6553,0.8101,False
2022-04-25/2022-05-01,32,17,20.5833,5.4013,-0.6634,0.8144,False
2023-06-26/2023-07-02,33,22,26.25,4.9198,-0.8639,0.8222,False
2018-12-10/2018-12-16,9,5,7.0,6.9019,-0.2898,0.827,False
2023-05-22/2023-05-28,39,24,28.6667,14.5935,-0.3198,0.8325,False
2022-03-07/2022-03-13,30,17,21.0833,7.4524,-0.5479,0.8414,False
2018-08-20/2018-08-26,9,2,3.3333,2.3484,-0.5678,0.8454,False
2018-07-30/2018-08-05,7,2,3.3333,2.3868,-0.5586,0.8454,False
2018-03-12/2018-03-18,8,4,6.0,15.3505,-0.1303,0.8488,False
2024-12-02/2024-12-08,14,6,8.5,4.6221,-0.5409,0.8504,False
2026-04-06/2026-04-12,16,7,9.75,2.6671,-1.0311,0.8533,False
2022-05-09/2022-05-15,29,16,20.25,5.4293,-0.7828,0.856,False
2018-11-12/2018-11-18,8,4,6.0833,7.3665,-0.2828,0.8561,False
2023-07-03/2023-07-09,27,21,26.0,5.0632,-0.9875,0.8613,False
2019-04-22/2019-04-28,10,5,7.4167,3.2602,-0.7413,0.8617,False
2026-04-20/2026-04-26,16,7,9.9167,2.6443,-1.103,0.8645,False
2020-08-03/2020-08-09,34,19,23.8333,5.5569,-0.8698,0.8647,False
2024-08-05/2024-08-11,20,8,11.1667,3.9042,-0.8111,0.8672,False
2019-04-08/2019-04-14,9,5,7.5,3.1766,-0.787,0.8679,False
2022-10-17/2022-10-23,19,12,15.9167,4.8328,-0.8104,0.8688,False
2023-05-29/2023-06-04,40,25,30.6667,11.6567,-0.4861,0.8693,False
2022-05-23/2022-05-29,29,16,20.5833,4.981,-0.9202,0.8715,False
